gtap,crops,agriculture
aus,0.003958854,0.021010521
nzl,0.000783652,0.055430267
xoc,0.001421964,0.038899476
chn,0.020822625,0.089336013
hkg,0.000109501,0.003250948
jpn,0.003252872,0.012350906
kor,0.004480908,0.018743372
mng,0.002855453,0.086767668
twn,0.002036664,0.013796568
xea,0.000758042,0.024975183
brn,2.01E-05,0.001932704
khm,0.103023269,0.334638536
idn,0.062131628,0.135521102
lao,0.070069573,0.355208035
mys,0.039655531,0.072245753
phl,0.031134281,0.087519325
sgp,7.11E-05,0.001455972
tha,0.019468992,0.072129664
vnm,0.028701264,0.172779444
xse,0.10831244,0.341911252
afg,0.070578417,0.3757801
bgd,0.034035811,0.10120846
ind,0.035245876,0.165762998
npl,0.090229616,0.305394782
pak,0.034393074,0.16740214
lka,0.018526527,0.084261507
xsa,0.014430558,0.072414833
can,0.006693142,0.017206593
usa,0.003678307,0.013242893
mex,0.005148923,0.036246984
xna,0.001284824,0.004318701
arg,0.018242269,0.051244123
bol,0.0294098,0.112475334
bra,0.020855359,0.062491742
chl,0.001579401,0.044939173
col,0.008397701,0.073057007
ecu,0.010644194,0.088755733
pry,0.076631775,0.127088875
per,0.011735788,0.080612581
ury,0.016619196,0.067455253
ven,0.003070079,0.043738737
xsm,0.008335697,0.057997153
cri,0.001679268,0.066363928
gtm,0.00966672,0.121163086
hnd,0.01919995,0.120185906
nic,0.020622847,0.159774923
pan,0.002591308,0.034811176
slv,0.00821447,0.055447762
xca,0.008301227,0.150288404
dom,0.002527192,0.115003663
hti,0.012128307,0.218420115
jam,0.004722941,0.05855648
pri,0.002648761,0.009511926
tto,0.000860644,0.014575428
xcb,0.001724952,0.072741146
aut,0.00225214,0.024778169
bel,0.000438095,0.012724468
bgr,0.029545242,0.066454125
hrv,0.008948748,0.047147056
cyp,0.001017106,0.023784379
cze,0.005857989,0.026007293
dnk,0.001046903,0.0197718
est,0.008070089,0.041854604
fin,0.002785851,0.039892808
fra,0.003795842,0.025549301
deu,0.00165189,0.012451615
grc,0.02521415,0.08237204
hun,0.015890754,0.062135718
irl,0.000590517,0.017126778
ita,0.004351425,0.025512409
lva,0.012234285,0.0718715
ltu,0.009784427,0.049084618
lux,0.000310711,0.006630741
mlt,0.000463291,0.013281431
nld,0.005226348,0.026724053
pol,0.008266374,0.041955581
prt,0.00194668,0.036094345
rou,0.01702212,0.085843936
svk,0.004766152,0.026190714
svn,0.002827293,0.032929654
esp,0.004359245,0.031457372
swe,0.001230837,0.021939739
gbr,0.001358593,0.009066066
che,0.000876561,0.01286248
nor,0.001205352,0.029670001
xef,0.000407147,0.013442377
alb,0.018655458,0.121611257
srb,0.017169602,0.07517668
blr,0.011110324,0.091469541
rus,0.009015948,0.028932885
ukr,0.078966405,0.130710823
xee,0.049788731,0.134037427
xer,0.006355159,0.081071364
kaz,0.01044417,0.041514308
kgz,0.020325943,0.20442712
tjk,0.012219039,0.151712661
uzb,0.013697361,0.221891331
xsu,0.001879754,0.010230573
arm,0.008581895,0.120746501
aze,0.005378355,0.052304868
geo,0.005977809,0.080473954
bhr,0.000388043,0.004894358
irn,0.011848804,0.058068303
irq,0.017419657,0.04395565
isr,0.000733511,0.014825868
jor,0.002776568,0.032575704
kwt,3.41E-05,0.004242107
lbn,0.002254801,0.02956483
omn,0.00022424,0.009633553
pse,0.013849504,0.075073261
qat,0.000235206,0.001651109
sau,0.001118981,0.013720707
syr,0.026383959,0.172568987
tur,0.011367047,0.056142919
are,0.000140464,0.006031293
xws,0.020772266,0.150862771
dza,0.003668325,0.090953064
egy,0.019608314,0.073389615
mar,0.021697189,0.118255599
tun,0.00845617,0.082374467
xnf,0.004157649,0.092037427
ben,0.04552935,0.300634998
bfa,0.081842964,0.259244687
cmr,0.044400225,0.268457636
civ,0.035744044,0.229662209
gha,0.025281777,0.249332334
gin,0.057904639,0.146960882
mli,0.099544316,0.46722553
ner,0.204681184,0.506926139
nga,0.030350175,0.137563822
sen,0.029789121,0.176480342
tgo,0.071782752,0.270956053
xwf,0.104724014,0.334427817
caf,0.054482631,0.708682284
tcd,0.129784449,0.538185891
cog,0.005942613,0.148927844
cod,0.018218072,0.283563495
gnq,0.000840584,0.016409128
gab,0.00259477,0.078766911
xac,0.018161024,0.30387555
com,0.028854358,0.291566932
eth,0.072894088,0.296972704
ken,0.023650295,0.137938468
mdg,0.037814762,0.414737904
mwi,0.087134545,0.518864449
mus,8.64E-06,0.089240199
moz,0.041249742,0.355576978
rwa,0.042276884,0.378169526
sdn,0.013521229,0.112021009
tza,0.065487593,0.265782482
uga,0.032205212,0.254214897
zmb,0.014447561,0.124690997
zwe,0.013441744,0.12826235
xec,0.029147249,0.280243824
bwa,0.000613904,0.026890486
swz,0.004478588,0.153194413
nam,0.003232776,0.089061187
zaf,0.003337971,0.027464528
xsc,0.003823354,0.091592993
xtw,0.000767412,0.02037994
