Country,Name,Region,Scenario,Degrees,GCM,Welfare Component,Labor Shock,ST_AG_Welfare_in_M_USD,ST_NONAG_Welfare_in_M_USD,Welfare_in_M_USD,Valueadded_in_M_USD,Initial_Income_in_M_USD
aus,Australia,Oceania,Labor Only (All Sectors),1,ACCESS-CM2,EV_total,Lancet,0.224162802,-75.86569977,-75.64157105,1141812.726,1189179.25
nzl,New Zealand,Oceania,Labor Only (All Sectors),1,ACCESS-CM2,EV_total,Lancet,6.493973732,-5.415603638,1.078355908,180885.9698,187628.125
xoc,Rest of Oceania,Oceania,Labor Only (All Sectors),1,ACCESS-CM2,EV_total,Lancet,2.643853903,3.525945664,6.169799328,45784.75981,52006.2461
chn,China,E Asia,Labor Only (All Sectors),1,ACCESS-CM2,EV_total,Lancet,-3153.081055,-11892.39453,-15045.47949,10634354.25,10702734
hkg,Hong Kong,E Asia,Labor Only (All Sectors),1,ACCESS-CM2,EV_total,Lancet,-11.672719,-28.88640976,-40.55911636,338351.8605,303837.5313
jpn,Japan,E Asia,Labor Only (All Sectors),1,ACCESS-CM2,EV_total,Lancet,-55.25519562,-1306.740479,-1361.996094,3811644.095,4222925
kor,"Korea, Republic of",E Asia,Labor Only (All Sectors),1,ACCESS-CM2,EV_total,Lancet,-28.38326263,-472.0927734,-500.4758301,1319140.14,1436882.25
mng,Mongolia,E Asia,Labor Only (All Sectors),1,ACCESS-CM2,EV_total,Lancet,-0.76112628,-2.239257574,-3.000384808,9534.373161,10260.3457
twn,Chinese Taipei,E Asia,Labor Only (All Sectors),1,ACCESS-CM2,EV_total,Lancet,-12.78787613,-510.2150269,-523.0029907,498787.0241,539912.0625
xea,Rest of East Asia,E Asia,Labor Only (All Sectors),1,ACCESS-CM2,EV_total,Lancet,-2.744550228,-18.22756577,-20.97211456,65991.24494,60750.1563
