Country,Name,Region,Scenario,Degrees,GCM,Labor Shock,ST_AG_Welfare_in_M_USD,ST_NONAG_Welfare_in_M_USD,Welfare_in_M_USD,Valueadded_in_M_USD,Initial_Income_in_M_USD
aus,Australia,Oceania,Labor Only (All Sectors),1,ACCESS-CM2,ISO,-0.579353154,-120.9868469,-121.5661621,1141812.726,1189179.25
nzl,New Zealand,Oceania,Labor Only (All Sectors),1,ACCESS-CM2,ISO,12.99446297,-6.982290745,6.012146473,180885.9698,187628.125
xoc,Rest of Oceania,Oceania,Labor Only (All Sectors),1,ACCESS-CM2,ISO,4.875750065,1.831228018,6.706973076,45784.75981,52006.2461
chn,China,E Asia,Labor Only (All Sectors),1,ACCESS-CM2,ISO,-5966.384766,-20588.36719,-26554.75781,10634354.25,10702734
hkg,Hong Kong,E Asia,Labor Only (All Sectors),1,ACCESS-CM2,ISO,-22.55578804,-49.45107269,-72.00686646,338351.8605,303837.5313
jpn,Japan,E Asia,Labor Only (All Sectors),1,ACCESS-CM2,ISO,-82.86158752,-2021.80481,-2104.666748,3811644.095,4222925
kor,"Korea, Republic of",E Asia,Labor Only (All Sectors),1,ACCESS-CM2,ISO,-46.04285049,-646.3135986,-692.3563232,1319140.14,1436882.25
mng,Mongolia,E Asia,Labor Only (All Sectors),1,ACCESS-CM2,ISO,-1.310302854,-3.606259823,-4.916562557,9534.373161,10260.3457
twn,Chinese Taipei,E Asia,Labor Only (All Sectors),1,ACCESS-CM2,ISO,-23.18401718,-697.3389893,-720.5229492,498787.0241,539912.0625
xea,Rest of East Asia,E Asia,Labor Only (All Sectors),1,ACCESS-CM2,ISO,-4.479211807,-18.11598587,-22.59519386,65991.24494,60750.1563
brn,Brunei Darussalam,SE Asia,Labor Only (All Sectors),1,ACCESS-CM2,ISO,-0.567379892,-3.241965532,-3.809343815,11404.3365,10575.5898
khm,Cambodia,SE Asia,Labor Only (All Sectors),1,ACCESS-CM2,ISO,-8.77324295,-12.51389122,-21.28713226,20269.07872,20846.584
idn,Indonesia,SE Asia,Labor Only (All Sectors),1,ACCESS-CM2,ISO,-33.80876923,-268.4919739,-302.3008118,995883.1294,902508.75
lao,Lao PDR,SE Asia,Labor Only (All Sectors),1,ACCESS-CM2,ISO,-11.02792454,-7.620269775,-18.64819717,15937.08307,15495.9434
mys,Malaysia,SE Asia,Labor Only (All Sectors),1,ACCESS-CM2,ISO,15.48221207,-31.54663849,-16.06440735,306019.3639,286098.25
phl,Philippines,SE Asia,Labor Only (All Sectors),1,ACCESS-CM2,ISO,48.77903748,63.85527039,112.6342926,299024.833,308774
sgp,Singapore,SE Asia,Labor Only (All Sectors),1,ACCESS-CM2,ISO,-4.80355835,-4.5284729,-9.332034111,306124.7433,311263.2188
tha,Thailand,SE Asia,Labor Only (All Sectors),1,ACCESS-CM2,ISO,-25.91596603,-270.6496582,-296.5655518,402651.6075,407908.0937
vnm,Viet Nam,SE Asia,Labor Only (All Sectors),1,ACCESS-CM2,ISO,-213.8457794,-328.4388123,-542.2844238,194587.7331,210226.0781
xse,Rest of Southeast Asia,SE Asia,Labor Only (All Sectors),1,ACCESS-CM2,ISO,59.64590454,17.32249069,76.96836853,60388.88224,59210.5547
afg,Afghanistan,C Asia,Labor Only (All Sectors),1,ACCESS-CM2,ISO,-14.03471565,6.353175163,-7.681534767,16888.34378,15970.0098
bgd,Bangladesh,S Asia,Labor Only (All Sectors),1,ACCESS-CM2,ISO,158.5366821,318.1448975,476.6815491,289703.3159,272672.4375
ind,India,S Asia,Labor Only (All Sectors),1,ACCESS-CM2,ISO,-307.8211365,-1718.385986,-2026.206787,2525112.672,2434175.5
npl,Nepal,S Asia,Labor Only (All Sectors),1,ACCESS-CM2,ISO,11.15102768,-2.928022146,8.223002434,23537.00307,26950.0723
pak,Pakistan,S Asia,Labor Only (All Sectors),1,ACCESS-CM2,ISO,-1071.348999,-805.2978516,-1876.646729,330316.3011,318852.125
lka,Sri Lanka,S Asia,Labor Only (All Sectors),1,ACCESS-CM2,ISO,9.508136749,10.39564133,19.90378571,76728.41096,81567.0313
xsa,Rest of South Asia,S Asia,Labor Only (All Sectors),1,ACCESS-CM2,ISO,0.031384807,-0.160528481,-0.129143879,6478.645404,6360.7217
can,Canada,N America,Labor Only (All Sectors),1,ACCESS-CM2,ISO,-3.961326599,-163.6887207,-167.6499634,1314982.922,1470133.25
usa,United States of America,N America,Labor Only (All Sectors),1,ACCESS-CM2,ISO,82.66223908,-4374.613281,-4291.954102,15606495.82,17663314
mex,Mexico,N America,Labor Only (All Sectors),1,ACCESS-CM2,ISO,103.8985214,281.4485474,385.3470154,1074965.616,1045179
xna,Rest of North America,N America,Labor Only (All Sectors),1,ACCESS-CM2,ISO,-0.201276496,-0.788476586,-0.989749014,31446.136,36104.6172
arg,Argentina,S America,Labor Only (All Sectors),1,ACCESS-CM2,ISO,6.838885307,-48.5669632,-41.72814179,513469.6686,605007.875
bol,Bolivia,S America,Labor Only (All Sectors),1,ACCESS-CM2,ISO,3.974181175,-2.561364889,1.412815213,31272.25462,35194.4219
bra,Brazil,S America,Labor Only (All Sectors),1,ACCESS-CM2,ISO,198.5414124,679.5860596,878.1273804,1532254.245,1820812.375
chl,Chile,S America,Labor Only (All Sectors),1,ACCESS-CM2,ISO,1.252343893,-19.68252182,-18.43019867,258966.5603,252467.9219
col,Colombia,S America,Labor Only (All Sectors),1,ACCESS-CM2,ISO,-11.621521,-77.42358398,-89.04507446,264684.6565,285542.3437
ecu,Ecuador,S America,Labor Only (All Sectors),1,ACCESS-CM2,ISO,0.333478063,-11.9908123,-11.65732956,95360.94733,91470.0547
pry,Paraguay,S America,Labor Only (All Sectors),1,ACCESS-CM2,ISO,-0.276319414,-17.02427101,-17.30058098,34200.03753,36365.2734
per,Peru,S America,Labor Only (All Sectors),1,ACCESS-CM2,ISO,-0.772927701,-9.087205887,-9.860138893,196870.4334,192188.6563
ury,Uruguay,S America,Labor Only (All Sectors),1,ACCESS-CM2,ISO,3.424177647,-0.903459013,2.520720959,50360.05408,58933.2617
ven,Venezuela,S America,Labor Only (All Sectors),1,ACCESS-CM2,ISO,14.63244343,98.80744171,113.4398499,231786.982,227818.25
xsm,Rest of South America,S America,Labor Only (All Sectors),1,ACCESS-CM2,ISO,-0.334738493,-2.131408215,-2.466145992,11449.23467,12486.4063
cri,Costa Rica,C America,Labor Only (All Sectors),1,ACCESS-CM2,ISO,-3.014939785,-6.592449188,-9.60738945,48892.29968,56441.3281
gtm,Guatemala,C America,Labor Only (All Sectors),1,ACCESS-CM2,ISO,13.26016998,10.28583813,23.54600334,65807.24184,65803.1172
hnd,Honduras,C America,Labor Only (All Sectors),1,ACCESS-CM2,ISO,0.878499627,-1.381079078,-0.502579093,19662.4006,20325.9297
nic,Nicaragua,C America,Labor Only (All Sectors),1,ACCESS-CM2,ISO,-1.953356385,-6.247341156,-8.200698853,11431.13223,12682.29
pan,Panama,C America,Labor Only (All Sectors),1,ACCESS-CM2,ISO,-1.984870315,-8.910095215,-10.89496708,51717.71568,56917.7617
slv,El Salvador,C America,Labor Only (All Sectors),1,ACCESS-CM2,ISO,-1.003809691,-2.851641655,-3.8554492,22447.3747,22695.1777
xca,Rest of Central America,C America,Labor Only (All Sectors),1,ACCESS-CM2,ISO,0.454513609,1.058232784,1.512746573,1261.343153,1638.5942
dom,Dominican Republic,C America,Labor Only (All Sectors),1,ACCESS-CM2,ISO,4.566931725,7.197192192,11.76412392,73011.67222,73286.0078
hti,Haiti,C America,Labor Only (All Sectors),1,ACCESS-CM2,ISO,-0.449027538,-0.061958134,-0.510983884,13165.08978,13306.667
jam,Jamaica,C America,Labor Only (All Sectors),1,ACCESS-CM2,ISO,-0.206770271,-0.814185858,-1.020956397,11199.61762,13920.3203
pri,Puerto Rico,C America,Labor Only (All Sectors),1,ACCESS-CM2,ISO,0.852241635,1.479437947,2.331681252,88186.64549,92681.7188
tto,Trinidad and Tobago,C America,Labor Only (All Sectors),1,ACCESS-CM2,ISO,-0.243236333,-0.667588353,-0.910824895,21229.1312,20768.2227
xcb,Rest of Caribbean,C America,Labor Only (All Sectors),1,ACCESS-CM2,ISO,-22.47501564,-38.16134644,-60.63638306,119976.1443,125676.7969
aut,Austria,Europe,Labor Only (All Sectors),1,ACCESS-CM2,ISO,0.636721432,-1.204532266,-0.567859113,288015.861,368294.3438
bel,Belgium,Europe,Labor Only (All Sectors),1,ACCESS-CM2,ISO,3.669734478,15.19757843,18.86729431,337525.0001,448323.2187
bgr,Bulgaria,Europe,Labor Only (All Sectors),1,ACCESS-CM2,ISO,0.832672,1.715829849,2.548491955,46822.77924,53544.9297
hrv,Croatia,Europe,Labor Only (All Sectors),1,ACCESS-CM2,ISO,-0.444262654,-1.264028072,-1.708289504,40347.9858,50285.0195
cyp,Cyprus,Europe,Labor Only (All Sectors),1,ACCESS-CM2,ISO,0.380442262,2.013074875,2.393516064,18698.6466,19540.6523
cze,Czech Republic,Europe,Labor Only (All Sectors),1,ACCESS-CM2,ISO,1.154033542,0.448746383,1.602773905,168739.1319,193082.875
dnk,Denmark,Europe,Labor Only (All Sectors),1,ACCESS-CM2,ISO,5.425222397,-3.498732805,1.926470637,270579.1919,298167.9063
est,Estonia,Europe,Labor Only (All Sectors),1,ACCESS-CM2,ISO,-0.07827802,-0.027152181,-0.105429605,19880.63649,24291.8047
fin,Finland,Europe,Labor Only (All Sectors),1,ACCESS-CM2,ISO,1.638145208,4.428119659,6.066235542,190558.2423,226543.8594
fra,France,Europe,Labor Only (All Sectors),1,ACCESS-CM2,ISO,27.58304215,21.16978073,48.75285339,1679692.874,2334273.5
deu,Germany,Europe,Labor Only (All Sectors),1,ACCESS-CM2,ISO,4.366620064,-3.394968987,0.971846879,2695266.552,3309027.25
grc,Greece,Europe,Labor Only (All Sectors),1,ACCESS-CM2,ISO,1.324934125,4.813731194,6.138656139,146290.767,178645.4531
hun,Hungary,Europe,Labor Only (All Sectors),1,ACCESS-CM2,ISO,0.63766402,-4.275447846,-3.637789249,102057.0524,129410.2344
irl,Ireland,Europe,Labor Only (All Sectors),1,ACCESS-CM2,ISO,-2.421658516,-3.568641663,-5.990314961,289339.8116,308923.125
ita,Italy,Europe,Labor Only (All Sectors),1,ACCESS-CM2,ISO,8.267337799,5.201005936,13.46837616,1400627.102,1739692.875
lva,Latvia,Europe,Labor Only (All Sectors),1,ACCESS-CM2,ISO,0.214956164,-0.188634261,0.02632197,22500.86449,27634.2188
ltu,Lithuania,Europe,Labor Only (All Sectors),1,ACCESS-CM2,ISO,0.972404242,1.75935483,2.731757641,37254.97136,44220.0352
