Country,Name,Region,Scenario,Degrees,GCM,Labor Shock,ST_AG_Welfare_in_M_USD,ST_NONAG_Welfare_in_M_USD,Welfare_in_M_USD,Valueadded_in_M_USD,Initial_Income_in_M_USD
aus,Australia,Oceania,Labor Only (All Sectors),1,ACCESS-CM2,Lancet,-6.193499088,54.86325073,48.66973114,1141812.726,1189179.25
nzl,New Zealand,Oceania,Labor Only (All Sectors),1,ACCESS-CM2,Lancet,31.14804268,2.246435404,33.39445877,180885.9698,187628.125
xoc,Rest of Oceania,Oceania,Labor Only (All Sectors),1,ACCESS-CM2,Lancet,7.893656731,76.96490479,84.85852051,45784.75981,52006.2461
chn,China,E Asia,Labor Only (All Sectors),1,ACCESS-CM2,Lancet,-6788.131836,-19268.57031,-26056.71484,10634354.25,10702734
hkg,Hong Kong,E Asia,Labor Only (All Sectors),1,ACCESS-CM2,Lancet,-43.02520752,-43.04328919,-86.06851196,338351.8605,303837.5313
jpn,Japan,E Asia,Labor Only (All Sectors),1,ACCESS-CM2,Lancet,3.649570942,-1610.232178,-1606.287109,3811644.095,4222925
kor,"Korea, Republic of",E Asia,Labor Only (All Sectors),1,ACCESS-CM2,Lancet,4.878481865,-460.2703247,-455.3920898,1319140.14,1436882.25
mng,Mongolia,E Asia,Labor Only (All Sectors),1,ACCESS-CM2,Lancet,-3.039021492,-1.664353371,-4.703374386,9534.373161,10260.3457
twn,Chinese Taipei,E Asia,Labor Only (All Sectors),1,ACCESS-CM2,Lancet,-11.97799683,-156.7671356,-168.7451019,498787.0241,539912.0625
xea,Rest of East Asia,E Asia,Labor Only (All Sectors),1,ACCESS-CM2,Lancet,-4.027037621,-4.725064755,-8.75210762,65991.24494,60750.1563
brn,Brunei Darussalam,SE Asia,Labor Only (All Sectors),1,ACCESS-CM2,Lancet,-2.482572317,-4.861595154,-7.344169617,11404.3365,10575.5898
khm,Cambodia,SE Asia,Labor Only (All Sectors),1,ACCESS-CM2,Lancet,-89.27734375,25.41633987,-63.86096191,20269.07872,20846.584
idn,Indonesia,SE Asia,Labor Only (All Sectors),1,ACCESS-CM2,Lancet,-364.3881226,1888.558106,1524.170288,995883.1294,902508.75
lao,Lao PDR,SE Asia,Labor Only (All Sectors),1,ACCESS-CM2,Lancet,-19.01981354,10.89177132,-8.128042221,15937.08307,15495.9434
mys,Malaysia,SE Asia,Labor Only (All Sectors),1,ACCESS-CM2,Lancet,-34.54845429,757.1405029,722.591919,306019.3639,286098.25
phl,Philippines,SE Asia,Labor Only (All Sectors),1,ACCESS-CM2,Lancet,-21.66572952,811.7265015,790.0605469,299024.833,308774
sgp,Singapore,SE Asia,Labor Only (All Sectors),1,ACCESS-CM2,Lancet,-7.252958775,92.99449158,85.74156189,306124.7433,311263.2188
tha,Thailand,SE Asia,Labor Only (All Sectors),1,ACCESS-CM2,Lancet,-197.7136536,500.8168335,303.1032715,402651.6075,407908.0937
vnm,Viet Nam,SE Asia,Labor Only (All Sectors),1,ACCESS-CM2,Lancet,-496.4772339,-3.251750231,-499.7288208,194587.7331,210226.0781
xse,Rest of Southeast Asia,SE Asia,Labor Only (All Sectors),1,ACCESS-CM2,Lancet,-94.3447113,59.49330139,-34.85141754,60388.88224,59210.5547
afg,Afghanistan,C Asia,Labor Only (All Sectors),1,ACCESS-CM2,Lancet,-87.60905457,11.777565,-75.83143616,16888.34378,15970.0098
bgd,Bangladesh,S Asia,Labor Only (All Sectors),1,ACCESS-CM2,Lancet,-302.0391235,375.0888672,73.04978943,289703.3159,272672.4375
ind,India,S Asia,Labor Only (All Sectors),1,ACCESS-CM2,Lancet,-7426.44043,-1673.395264,-9099.832031,2525112.672,2434175.5
npl,Nepal,S Asia,Labor Only (All Sectors),1,ACCESS-CM2,Lancet,-52.79315186,8.851622582,-43.94156265,23537.00307,26950.0723
pak,Pakistan,S Asia,Labor Only (All Sectors),1,ACCESS-CM2,Lancet,-5439.99707,-1401.366455,-6841.364258,330316.3011,318852.125
lka,Sri Lanka,S Asia,Labor Only (All Sectors),1,ACCESS-CM2,Lancet,20.99908447,188.4203186,209.4193726,76728.41096,81567.0313
xsa,Rest of South Asia,S Asia,Labor Only (All Sectors),1,ACCESS-CM2,Lancet,-0.88459599,0.978414774,0.093818635,6478.645404,6360.7217
can,Canada,N America,Labor Only (All Sectors),1,ACCESS-CM2,Lancet,3.486487865,68.56019592,72.04669952,1314982.922,1470133.25
