"Country","Year","Pop","GDP"
"ABW",2020,106.766,3041.3982778285626
"ABW",2025,99.2654421121807,3294.9317669382526
"ABW",2030,98.5232683554841,2976.1034148929116
"ABW",2035,104.685437544973,3796.699939185082
"ABW",2040,108.711505196708,4810.516208415193
"ABW",2045,113.14777115328,4806.43030266826
"ABW",2050,118.574751255234,5240.806819285579
"ABW",2055,115.604828056881,5108.865835807142
"ABW",2060,127.84245649219,5531.862258217367
"ABW",2065,135.446332655915,6032.769868036949
"ABW",2070,140.842665122983,8292.167009912093
"ABW",2075,149.449027639691,10000.905266709977
"ABW",2080,178.651714565562,13527.495349060084
"ABW",2085,191.774195613669,14190.989806757814
"ABW",2090,206.989210009076,13655.840672438473
"ABW",2095,221.787580304777,14040.356205380735
"ABW",2100,234.136241475897,17297.265395887294
"ABW",2105,265.304701736157,18449.2148480516
"ABW",2110,283.817358391298,21427.745402414792
"ABW",2115,308.159632522744,20621.475228820884
"ABW",2120,350.706010386059,27208.1074333389
"ABW",2125,378.13266074339,33096.54230906144
"ABW",2130,363.564014957427,34417.77639635738
"ABW",2135,358.672404918073,39205.501109812045
"ABW",2140,374.262361715299,40726.00920994611
"ABW",2145,389.049081017416,40553.18271820142
"ABW",2150,370.924775671527,43929.17939872281
"ABW",2155,371.150439512133,45344.99907745528
"ABW",2160,360.083106608383,51682.03523550133
"ABW",2165,353.62913734127,48738.86281054147
"ABW",2170,375.682824084761,64601.63764519493
"ABW",2175,368.309927290554,67578.60571300464
"ABW",2180,350.410757453904,63158.00540866181
"ABW",2185,359.081459420029,74449.91021425505
"ABW",2190,356.455250959487,87170.62380171055
"ABW",2195,377.695592557147,116035.95774047461
"ABW",2200,362.986170143368,150939.56849365222
"ABW",2205,366.08793767282,133714.78798337717
"ABW",2210,358.972507876885,193862.7725112079
"ABW",2215,348.93398861517,188547.10435817152
"ABW",2220,347.389734174287,206804.63047938017
"ABW",2225,352.256575012031,199728.83208778073
"ABW",2230,364.236189838988,238273.48556592496
"ABW",2235,352.472390409421,212838.6700202329
"ABW",2240,337.416319322826,209552.27087053537
"ABW",2245,320.574420063245,220331.26405861293
"ABW",2250,312.204148651916,217938.5993742002
"ABW",2255,288.43956772868,258117.73741953284
"ABW",2260,266.166041656686,209541.71345417688
"ABW",2265,244.983256490541,200799.9710429094
"ABW",2270,239.110444912105,189597.89483358237
"ABW",2275,225.891344811691,179028.6583178828
"ABW",2280,226.687953963445,223349.96991650376
"ABW",2285,215.198635417625,310782.6550176474
"ABW",2290,226.160559993135,381741.0204773567
"ABW",2295,230.365248474652,387995.07171720744
"ABW",2300,224.739635911181,479972.6139541627
"AFG",2020,38928.341,91788.47545388754
"AFG",2025,43640.9062766878,190725.61113694787
"AFG",2030,45736.6233933475,154865.55101919605
"AFG",2035,45535.7621533828,127112.87051243312
"AFG",2040,46199.0599013986,88691.7890967016
"AFG",2045,52306.1123901595,150086.16363633503
"AFG",2050,52127.9000736896,141460.74134231717
"AFG",2055,57661.207368271,183008.424937454
"AFG",2060,62400.8014500163,105186.47273550725
"AFG",2065,64861.9718568679,143036.31683401883
"AFG",2070,67588.3489276633,171694.45950752526
"AFG",2075,76301.5812626384,164448.90519103134
"AFG",2080,74641.6385272887,151968.19826273285
"AFG",2085,73499.8211040454,107747.98271588983
"AFG",2090,84771.8061835507,105560.09975328125
"AFG",2095,93547.5129796236,96934.77276831404
"AFG",2100,90915.8967167786,120316.61892998446
"AFG",2105,93791.1859606881,127248.81074004232
"AFG",2110,85589.1221646663,96814.9793018514
"AFG",2115,86758.7362952557,136272.69192643356
"AFG",2120,79477.0794800566,265954.87753433763
"AFG",2125,76776.5794448516,276419.1557294537
"AFG",2130,77611.9885904833,377224.6829377777
"AFG",2135,76387.5969303392,313833.7933203335
"AFG",2140,71857.1306881544,254422.64941830628
"AFG",2145,73063.4242128642,240246.70926590424
"AFG",2150,74872.3752043824,382653.6619115069
"AFG",2155,73182.5873701871,395776.5222239539
"AFG",2160,70883.2508671848,339571.9065220446
"AFG",2165,69842.1471627396,539434.2167744708
"AFG",2170,66429.7832552994,848519.6913701247
"AFG",2175,62525.5050212991,1.3239693641275063e6
"AFG",2180,59292.9164045499,1.1806714207283538e6
"AFG",2185,55245.2333417302,955647.7931051692
"AFG",2190,56481.9208298528,877524.8369376747
"AFG",2195,56150.2636437085,2.2872319859986613e6
"AFG",2200,55075.7044907458,2.240912890374925e6
"AFG",2205,50609.8350925544,2.0919547836938612e6
"AFG",2210,46649.9635085364,2.0203180208630902e6
"AFG",2215,43545.121746878,2.318623537887686e6
"AFG",2220,38886.536649398,3.6481992978418875e6
"AFG",2225,39603.9308213084,3.72378396317279e6
"AFG",2230,36916.9786770884,3.013761515850858e6
"AFG",2235,35855.2857168197,2.192548684139159e6
"AFG",2240,35841.574367746,2.0025256595982756e6
"AFG",2245,35093.4083396303,3.015629753808467e6
"AFG",2250,33951.2847014931,1.2683412592438282e6
"AFG",2255,31678.1147211809,1.5145925308422244e6
"AFG",2260,30505.6717294418,1.6169028075628462e6
"AFG",2265,28278.4830570783,1.6763182049080785e6
"AFG",2270,27733.5968726924,1.4517594581108096e6
"AFG",2275,27133.8171773555,1.74634058657052e6
"AFG",2280,27236.7597254085,2.218025239272315e6
"AFG",2285,26212.52786889,3.0992033964745756e6
"AFG",2290,27470.424739899,3.177632491261623e6
"AFG",2295,26871.0505220359,4.731017927593087e6
"AFG",2300,24893.9992314428,7.6512653030691575e6
"AGO",2020,32866.268,115803.06846574254
"AGO",2025,37066.9529949868,129612.67801244796
"AGO",2030,44355.050329032,146022.5149944565
"AGO",2035,52712.4216268886,179507.23044393735
"AGO",2040,60928.2438191131,247238.71807372538
"AGO",2045,70530.8725532095,289806.46030045423
"AGO",2050,79091.2237578514,293206.3887141267
"AGO",2055,85252.0898107681,334465.1420458495
"AGO",2060,90830.452809261,303364.2017966188
"AGO",2065,100921.368187669,403274.8049632911
"AGO",2070,108226.017848549,646687.7653865055
"AGO",2075,118926.830934966,596393.1040921784
"AGO",2080,129589.574958854,719321.998837302
"AGO",2085,137418.405985398,843284.5257055718
"AGO",2090,141946.359278845,867898.4165605836
"AGO",2095,143598.740393185,838123.26799577
"AGO",2100,147446.430907494,1.4068717266109616e6
"AGO",2105,154282.410664892,1.759379875549247e6
"AGO",2110,162422.704693737,2.0001331344599505e6
"AGO",2115,169578.080344469,2.2157031916860812e6
"AGO",2120,176705.67447638,2.0423862338270992e6
"AGO",2125,179861.499048688,2.210863495997928e6
"AGO",2130,178861.819474863,2.1937748072348502e6
"AGO",2135,168312.735691121,1.785787764069663e6
"AGO",2140,163624.451193447,1.6763994351164356e6
"AGO",2145,158132.168438339,1.5566523759239162e6
"AGO",2150,155205.728655277,1.9090186741181302e6
"AGO",2155,150963.561366167,1.9332088985251153e6
"AGO",2160,146578.888504355,2.907599516403625e6
"AGO",2165,139124.34894685,3.467553546618917e6
"AGO",2170,131642.137007118,3.0652859405503497e6
"AGO",2175,120220.202695474,3.250814211329463e6
"AGO",2180,110282.24729814,3.2409848966754167e6
"AGO",2185,104481.280574964,2.450144516610049e6
"AGO",2190,100354.799037953,2.813784762475717e6
"AGO",2195,95386.507992116,4.203695986906128e6
"AGO",2200,90299.0394076033,5.76924119974495e6
"AGO",2205,85794.3006197931,6.973183607134306e6
"AGO",2210,80376.2817591982,7.201481438328303e6
